Item_Number,Name,Year,Theme,Subtheme,Pieces,Minifigures,USD_MSRP,set_num,current_price
71007,Jester,2014,Collectable Minifigures,Series 12,7.0,1.0,3.99,71007,
71007,Jester,2014,Collectable Minifigures,Series 12,7.0,1.0,3.99,71007,90.0
71007,Jester,2014,Collectable Minifigures,Series 12,7.0,1.0,3.99,71007,
71007,Jester,2014,Collectable Minifigures,Series 12,7.0,1.0,3.99,71007,
71007,Jester,2014,Collectable Minifigures,Series 12,7.0,1.0,3.99,71007,
71007,Jester,2014,Collectable Minifigures,Series 12,7.0,1.0,3.99,71007,
71007,Jester,2014,Collectable Minifigures,Series 12,7.0,1.0,3.99,71007,
71007,Jester,2014,Collectable Minifigures,Series 12,7.0,1.0,3.99,71007,
71007,Jester,2014,Collectable Minifigures,Series 12,7.0,1.0,3.99,71007,
71007,Hun Warrior,2014,Collectable Minifigures,Series 12,9.0,1.0,3.99,71007,
71007,Hun Warrior,2014,Collectable Minifigures,Series 12,9.0,1.0,3.99,71007,4.4793
71007,Hun Warrior,2014,Collectable Minifigures,Series 12,9.0,1.0,3.99,71007,
71007,Hun Warrior,2014,Collectable Minifigures,Series 12,9.0,1.0,3.99,71007,
71007,Hun Warrior,2014,Collectable Minifigures,Series 12,9.0,1.0,3.99,71007,
71007,Hun Warrior,2014,Collectable Minifigures,Series 12,9.0,1.0,3.99,71007,
71007,Hun Warrior,2014,Collectable Minifigures,Series 12,9.0,1.0,3.99,71007,
71007,Hun Warrior,2014,Collectable Minifigures,Series 12,9.0,1.0,3.99,71007,
71007,Hun Warrior,2014,Collectable Minifigures,Series 12,9.0,1.0,3.99,71007,
71007,Hun Warrior,2014,Collectable Minifigures,Series 12,9.0,1.0,3.99,71007,
71007,Hun Warrior,2014,Collectable Minifigures,Series 12,9.0,1.0,3.99,71007,
71007,Hun Warrior,2014,Collectable Minifigures,Series 12,9.0,1.0,3.99,71007,90.0
71007,Hun Warrior,2014,Collectable Minifigures,Series 12,9.0,1.0,3.99,71007,
71007,Hun Warrior,2014,Collectable Minifigures,Series 12,9.0,1.0,3.99,71007,
71007,Hun Warrior,2014,Collectable Minifigures,Series 12,9.0,1.0,3.99,71007,
71007,Hun Warrior,2014,Collectable Minifigures,Series 12,9.0,1.0,3.99,71007,
71007,Hun Warrior,2014,Collectable Minifigures,Series 12,9.0,1.0,3.99,71007,
71007,Hun Warrior,2014,Collectable Minifigures,Series 12,9.0,1.0,3.99,71007,
71007,Hun Warrior,2014,Collectable Minifigures,Series 12,9.0,1.0,3.99,71007,
71007,Genie Girl,2014,Collectable Minifigures,Series 12,6.0,1.0,3.99,71007,
71007,Genie Girl,2014,Collectable Minifigures,Series 12,6.0,1.0,3.99,71007,4.4793
71007,Genie Girl,2014,Collectable Minifigures,Series 12,6.0,1.0,3.99,71007,
71007,Genie Girl,2014,Collectable Minifigures,Series 12,6.0,1.0,3.99,71007,
71007,Genie Girl,2014,Collectable Minifigures,Series 12,6.0,1.0,3.99,71007,
71007,Genie Girl,2014,Collectable Minifigures,Series 12,6.0,1.0,3.99,71007,
71007,Genie Girl,2014,Collectable Minifigures,Series 12,6.0,1.0,3.99,71007,
71007,Genie Girl,2014,Collectable Minifigures,Series 12,6.0,1.0,3.99,71007,
71007,Genie Girl,2014,Collectable Minifigures,Series 12,6.0,1.0,3.99,71007,
71007,Genie Girl,2014,Collectable Minifigures,Series 12,6.0,1.0,3.99,71007,
71007,Genie Girl,2014,Collectable Minifigures,Series 12,6.0,1.0,3.99,71007,
71007,Genie Girl,2014,Collectable Minifigures,Series 12,6.0,1.0,3.99,71007,90.0
71007,Genie Girl,2014,Collectable Minifigures,Series 12,6.0,1.0,3.99,71007,
71007,Genie Girl,2014,Collectable Minifigures,Series 12,6.0,1.0,3.99,71007,
71007,Genie Girl,2014,Collectable Minifigures,Series 12,6.0,1.0,3.99,71007,
71007,Genie Girl,2014,Collectable Minifigures,Series 12,6.0,1.0,3.99,71007,
71007,Genie Girl,2014,Collectable Minifigures,Series 12,6.0,1.0,3.99,71007,
71007,Genie Girl,2014,Collectable Minifigures,Series 12,6.0,1.0,3.99,71007,
71007,Genie Girl,2014,Collectable Minifigures,Series 12,6.0,1.0,3.99,71007,
71007,Battle Goddess,2014,Collectable Minifigures,Series 12,9.0,1.0,3.99,71007,
71007,Battle Goddess,2014,Collectable Minifigures,Series 12,9.0,1.0,3.99,71007,4.4793
71007,Battle Goddess,2014,Collectable Minifigures,Series 12,9.0,1.0,3.99,71007,
71007,Battle Goddess,2014,Collectable Minifigures,Series 12,9.0,1.0,3.99,71007,
71007,Battle Goddess,2014,Collectable Minifigures,Series 12,9.0,1.0,3.99,71007,
71007,Battle Goddess,2014,Collectable Minifigures,Series 12,9.0,1.0,3.99,71007,
71007,Battle Goddess,2014,Collectable Minifigures,Series 12,9.0,1.0,3.99,71007,
71007,Battle Goddess,2014,Collectable Minifigures,Series 12,9.0,1.0,3.99,71007,
71007,Battle Goddess,2014,Collectable Minifigures,Series 12,9.0,1.0,3.99,71007,
71007,Battle Goddess,2014,Collectable Minifigures,Series 12,9.0,1.0,3.99,71007,
71007,Battle Goddess,2014,Collectable Minifigures,Series 12,9.0,1.0,3.99,71007,
71007,Battle Goddess,2014,Collectable Minifigures,Series 12,9.0,1.0,3.99,71007,90.0
71007,Battle Goddess,2014,Collectable Minifigures,Series 12,9.0,1.0,3.99,71007,
71007,Battle Goddess,2014,Collectable Minifigures,Series 12,9.0,1.0,3.99,71007,
71007,Battle Goddess,2014,Collectable Minifigures,Series 12,9.0,1.0,3.99,71007,
71007,Battle Goddess,2014,Collectable Minifigures,Series 12,9.0,1.0,3.99,71007,
71007,Battle Goddess,2014,Collectable Minifigures,Series 12,9.0,1.0,3.99,71007,
71007,Battle Goddess,2014,Collectable Minifigures,Series 12,9.0,1.0,3.99,71007,
71007,Battle Goddess,2014,Collectable Minifigures,Series 12,9.0,1.0,3.99,71007,
71007,Dino Tracker,2014,Collectable Minifigures,Series 12,7.0,1.0,3.99,71007,
71007,Dino Tracker,2014,Collectable Minifigures,Series 12,7.0,1.0,3.99,71007,4.4793
71007,Dino Tracker,2014,Collectable Minifigures,Series 12,7.0,1.0,3.99,71007,
71007,Dino Tracker,2014,Collectable Minifigures,Series 12,7.0,1.0,3.99,71007,
71007,Dino Tracker,2014,Collectable Minifigures,Series 12,7.0,1.0,3.99,71007,
71007,Dino Tracker,2014,Collectable Minifigures,Series 12,7.0,1.0,3.99,71007,
71007,Dino Tracker,2014,Collectable Minifigures,Series 12,7.0,1.0,3.99,71007,
71007,Dino Tracker,2014,Collectable Minifigures,Series 12,7.0,1.0,3.99,71007,
71007,Dino Tracker,2014,Collectable Minifigures,Series 12,7.0,1.0,3.99,71007,
71007,Dino Tracker,2014,Collectable Minifigures,Series 12,7.0,1.0,3.99,71007,
71007,Dino Tracker,2014,Collectable Minifigures,Series 12,7.0,1.0,3.99,71007,
71007,Dino Tracker,2014,Collectable Minifigures,Series 12,7.0,1.0,3.99,71007,90.0
71007,Dino Tracker,2014,Collectable Minifigures,Series 12,7.0,1.0,3.99,71007,
71007,Dino Tracker,2014,Collectable Minifigures,Series 12,7.0,1.0,3.99,71007,
71007,Dino Tracker,2014,Collectable Minifigures,Series 12,7.0,1.0,3.99,71007,
71007,Dino Tracker,2014,Collectable Minifigures,Series 12,7.0,1.0,3.99,71007,
71007,Dino Tracker,2014,Collectable Minifigures,Series 12,7.0,1.0,3.99,71007,
71007,Dino Tracker,2014,Collectable Minifigures,Series 12,7.0,1.0,3.99,71007,
71007,Dino Tracker,2014,Collectable Minifigures,Series 12,7.0,1.0,3.99,71007,
71007,Fairytale Princess,2014,Collectable Minifigures,Series 12,6.0,1.0,3.99,71007,
71007,Fairytale Princess,2014,Collectable Minifigures,Series 12,6.0,1.0,3.99,71007,4.4793
71007,Fairytale Princess,2014,Collectable Minifigures,Series 12,6.0,1.0,3.99,71007,
71007,Fairytale Princess,2014,Collectable Minifigures,Series 12,6.0,1.0,3.99,71007,
71007,Fairytale Princess,2014,Collectable Minifigures,Series 12,6.0,1.0,3.99,71007,
71007,Fairytale Princess,2014,Collectable Minifigures,Series 12,6.0,1.0,3.99,71007,
71007,Fairytale Princess,2014,Collectable Minifigures,Series 12,6.0,1.0,3.99,71007,
71007,Fairytale Princess,2014,Collectable Minifigures,Series 12,6.0,1.0,3.99,71007,
71007,Fairytale Princess,2014,Collectable Minifigures,Series 12,6.0,1.0,3.99,71007,
71007,Fairytale Princess,2014,Collectable Minifigures,Series 12,6.0,1.0,3.99,71007,
71007,Fairytale Princess,2014,Collectable Minifigures,Series 12,6.0,1.0,3.99,71007,
71007,Fairytale Princess,2014,Collectable Minifigures,Series 12,6.0,1.0,3.99,71007,90.0
71007,Fairytale Princess,2014,Collectable Minifigures,Series 12,6.0,1.0,3.99,71007,
71007,Fairytale Princess,2014,Collectable Minifigures,Series 12,6.0,1.0,3.99,71007,
71007,Fairytale Princess,2014,Collectable Minifigures,Series 12,6.0,1.0,3.99,71007,
71007,Fairytale Princess,2014,Collectable Minifigures,Series 12,6.0,1.0,3.99,71007,
71007,Fairytale Princess,2014,Collectable Minifigures,Series 12,6.0,1.0,3.99,71007,
71007,Fairytale Princess,2014,Collectable Minifigures,Series 12,6.0,1.0,3.99,71007,
71007,Fairytale Princess,2014,Collectable Minifigures,Series 12,6.0,1.0,3.99,71007,
75028,Clone Turbo Tank,2014,Star Wars,MicroFighters,96.0,1.0,9.99,75028,75.0
75029,AAT,2014,Star Wars,MicroFighters,95.0,1.0,9.99,75029,23.16
75030,Millennium Falcon,2014,Star Wars,MicroFighters,94.0,1.0,9.99,75030,26.99
75031,TIE Interceptor,2014,Star Wars,MicroFighters,92.0,1.0,9.99,75031,23.99
75032,X-Wing Fighter,2014,Star Wars,MicroFighters,97.0,1.0,9.99,75032,33.99
75033,Star Destroyer,2014,Star Wars,MicroFighters,100.0,1.0,9.99,75033,23.99
75034,Death Star Troopers,2014,Star Wars,Episode IV-VI,83.0,4.0,12.99,75034,18.0
75035,Kashyyyk Troopers,2014,Star Wars,Episode III,99.0,4.0,12.99,75035,85.0
75036,Utapau Troopers,2014,Star Wars,Episode III,83.0,4.0,12.99,75036,96.1196
75037,Battle on Saleucami,2014,Star Wars,The Clone Wars,183.0,5.0,14.99,75037,74.99
75038,Jedi Interceptor,2014,Star Wars,Episode III,223.0,2.0,24.99,75038,60.0
75039,V-Wing Starfighter,2014,Star Wars,Episode III,201.0,2.0,24.99,75039,80.0
75040,General Grievous' Wheel Bike,2014,Star Wars,Episode III,261.0,2.0,24.99,75040,115.0
75041,Vulture Droid,2014,Star Wars,Episode III,205.0,3.0,24.99,75041,90.0
75042,Droid Gunship,2014,Star Wars,Episode III,439.0,4.0,49.99,75042,139.99
75043,AT-AP,2014,Star Wars,Episode III,717.0,5.0,59.99,75043,127.5
75044,Droid Tri-Fighter,2014,Star Wars,Episode III,262.0,4.0,29.99,75044,100.0
75045,Republic AV-7 Anti-Vehicle Cannon,2014,Star Wars,The Clone Wars,434.0,4.0,39.99,75045,270.0
75046,Coruscant Police Gunship,2014,Star Wars,The Clone Wars,481.0,4.0,49.99,75046,296.1737
75048,The Phantom,2014,Star Wars,Rebels,234.0,2.0,24.99,75048,157.99
75049,Snowspeeder,2014,Star Wars,Episode IV-VI,278.0,3.0,29.99,75049,81.7569
75050,B-Wing,2014,Star Wars,Episode IV-VI,448.0,3.0,49.99,75050,225.0
75051,Jedi Scout Fighter,2014,Star Wars,Yoda Chronicles,490.0,4.0,59.99,75051,162.6994
75052,Mos Eisley Cantina,2014,Star Wars,Episode IV-VI,615.0,8.0,69.99,75052,129.99
75053,The Ghost,2014,Star Wars,Rebels,929.0,4.0,89.99,75053,650.0
75054,AT-AT,2014,Star Wars,Episode IV-VI,1138.0,5.0,109.99,75054,160.5563
75055,Imperial Star Destroyer,2014,Star Wars,Episode IV-VI,1359.0,7.0,129.99,75055,330.0
75056,Star Wars Advent Calendar,2014,Star Wars,Seasonal,274.0,9.0,39.99,75056,99.99
75056,Star Wars Advent Calendar,2014,Star Wars,Seasonal,274.0,9.0,39.99,75056,1.2
75056,Star Wars Advent Calendar,2014,Star Wars,Seasonal,274.0,9.0,39.99,75056,2.0
75056,Star Wars Advent Calendar,2014,Star Wars,Seasonal,274.0,9.0,39.99,75056,6.988
75056,Star Wars Advent Calendar,2014,Star Wars,Seasonal,274.0,9.0,39.99,75056,1.25
75056,Star Wars Advent Calendar,2014,Star Wars,Seasonal,274.0,9.0,39.99,75056,4.99
75056,Star Wars Advent Calendar,2014,Star Wars,Seasonal,274.0,9.0,39.99,75056,2.0
75056,Star Wars Advent Calendar,2014,Star Wars,Seasonal,274.0,9.0,39.99,75056,2.0
75056,Star Wars Advent Calendar,2014,Star Wars,Seasonal,274.0,9.0,39.99,75056,8.0
75056,Star Wars Advent Calendar,2014,Star Wars,Seasonal,274.0,9.0,39.99,75056,1.0
75056,Star Wars Advent Calendar,2014,Star Wars,Seasonal,274.0,9.0,39.99,75056,7.2
75056,Star Wars Advent Calendar,2014,Star Wars,Seasonal,274.0,9.0,39.99,75056,0.75
75056,Star Wars Advent Calendar,2014,Star Wars,Seasonal,274.0,9.0,39.99,75056,2.5
75056,Star Wars Advent Calendar,2014,Star Wars,Seasonal,274.0,9.0,39.99,75056,
75056,Star Wars Advent Calendar,2014,Star Wars,Seasonal,274.0,9.0,39.99,75056,2.0
75056,Star Wars Advent Calendar,2014,Star Wars,Seasonal,274.0,9.0,39.99,75056,20.0
75056,Star Wars Advent Calendar,2014,Star Wars,Seasonal,274.0,9.0,39.99,75056,
75056,Star Wars Advent Calendar,2014,Star Wars,Seasonal,274.0,9.0,39.99,75056,
75056,Star Wars Advent Calendar,2014,Star Wars,Seasonal,274.0,9.0,39.99,75056,6.99
75056,Star Wars Advent Calendar,2014,Star Wars,Seasonal,274.0,9.0,39.99,75056,0.99
75056,Star Wars Advent Calendar,2014,Star Wars,Seasonal,274.0,9.0,39.99,75056,
75056,Star Wars Advent Calendar,2014,Star Wars,Seasonal,274.0,9.0,39.99,75056,4.0
75056,Star Wars Advent Calendar,2014,Star Wars,Seasonal,274.0,9.0,39.99,75056,0.85
75056,Star Wars Advent Calendar,2014,Star Wars,Seasonal,274.0,9.0,39.99,75056,
75056,Star Wars Advent Calendar,2014,Star Wars,Seasonal,274.0,9.0,39.99,75056,4.99
75058,MTT,2014,Star Wars,Episode I,954.0,12.0,89.99,75058,300.48
75059,Sandcrawler,2014,Star Wars,Ultimate Collector Series,3296.0,14.0,299.99,75059,580.0
76010,Batman: The Penguin Face off,2014,DC Comics Super Heroes,Batman,136.0,2.0,12.99,76010,28.0
76011,Batman: Man-Bat Attack,2014,DC Comics Super Heroes,Batman,184.0,3.0,19.99,76011,39.95
76012,Batman: The Riddler Chase,2014,DC Comics Super Heroes,Batman,304.0,3.0,29.99,76012,44.99
76013,Batman: The Joker Steam Roller,2014,DC Comics Super Heroes,Batman,486.0,5.0,49.99,76013,38.99
76014,Spider-Trike vs. Electro,2014,Marvel Super Heroes,Ultimate Spider-Man,70.0,2.0,12.99,76014,26.9
76015,Doc Ock Truck Heist,2014,Marvel Super Heroes,Ultimate Spider-Man,237.0,3.0,19.99,76015,50.0
76016,Spider-Helicopter Rescue,2014,Marvel Super Heroes,Ultimate Spider-Man,299.0,4.0,44.99,76016,49.99
76017,Avengers: Captain America vs. Hydra,2014,Marvel Super Heroes,Avengers Assemble,172.0,3.0,19.99,76017,
76018,Avengers: Hulk Lab Smash,2014,Marvel Super Heroes,Avengers Assemble,398.0,5.0,49.99,76018,119.95
76019,Starblaster Showdown ,2014,Marvel Super Heroes,Guardians of the Galaxy,196.0,3.0,19.99,76019,40.0
76020,Knowhere Escape Mission ,2014,Marvel Super Heroes,Guardians of the Galaxy,433.0,3.0,39.99,76020,65.0
76021,The Milano Spaceship Rescue,2014,Marvel Super Heroes,Guardians of the Galaxy,665.0,5.0,74.99,76021,174.95
76022,X-Men vs. The Sentinel,2014,Marvel Super Heroes,X-Men,336.0,4.0,49.99,76022,160.0
76023,The Tumbler,2014,DC Comics Super Heroes,Ultimate Collectors Series,1869.0,2.0,199.99,76023,300.0
79015,Witch-King Battle,2014,The Hobbit,The Battle of the Five Armies,101.0,3.0,14.99,79015,70.9983
79016,Attack on Lake-town,2014,The Hobbit,The Battle of the Five Armies,313.0,5.0,29.99,79016,98.091
79017,The Battle of the Five Armies,2014,The Hobbit,The Battle of the Five Armies,472.0,7.0,59.99,79017,246.4575
79018,The Lonely Mountain,2014,The Hobbit,The Battle of the Five Armies,866.0,5.0,129.99,79018,500.0
79115,Turtle Van Takedown,2014,Teenage Mutant Ninja Turtles,Movie,368.0,4.0,39.99,79115,100.0
79116,Big Rig Snow Getaway,2014,Teenage Mutant Ninja Turtles,Movie,741.0,6.0,69.99,79116,125.0
79117,Turtle Lair Invasion,2014,Teenage Mutant Ninja Turtles,Movie,888.0,6.0,99.99,79117,159.99
79118,Karai Bike Escape,2014,Teenage Mutant Ninja Turtles,,88.0,2.0,12.99,79118,24.99
79119,Mutation Chamber Unleashed,2014,Teenage Mutant Ninja Turtles,,196.0,3.0,24.99,79119,63.75
79120,T-Rawket Sky Strike,2014,Teenage Mutant Ninja Turtles,,286.0,4.0,34.99,79120,59.8347
79121,Turtle Sub Undersea Chase,2014,Teenage Mutant Ninja Turtles,,684.0,5.0,59.99,79121,99.99
79122,Shredder's Lair Rescue,2014,Teenage Mutant Ninja Turtles,,478.0,5.0,49.99,79122,145.0
850888,Castle Knights Accessory Set,2014,Castle,Lion Knights,32.0,4.0,14.99,850888,
850889,Castle Dragons Accessory Set,2014,Castle,Dragon Knights,42.0,4.0,14.99,850889,
850910,Legends of Chima Minifigure Accessory Set,2014,Legends of Chima,,53.0,4.0,14.99,850910,15.0
850913,Fire and Ice Minifigure Accessory Set,2014,Legends of Chima,,49.0,4.0,14.99,850913,14.5849
850932,Polar Accessory Set,2014,City,Arctic,41.0,2.0,14.99,850932,44.99
850935,Classic Minifigure Graduation Set,2014,Miscellaneous,,30.0,1.0,7.99,850935,50.0
850936,Halloween Set,2014,Seasonal,Halloween,11.0,1.0,7.99,850936,18.2311
850939,Santa Set,2014,Seasonal,Christmas,27.0,2.0,7.99,850939,12.39
850949, Christmas Snow Hut Ornament,2014,Seasonal,Christmas,45.0,,7.99,850949,18.6639
850950,Christmas Cat Ornament,2014,Seasonal,Christmas,34.0,,7.99,850950,20.0
850967,Jungle Accessory Set,2014,Friends,,39.0,1.0,14.99,850967,15.735
COMCON034,Rocket Raccoon's Warbird,2014,Marvel Super Heroes,Guardians of the Galaxy,145.0,1.0,39.99,,
COMCON035,The Collector,2014,Marvel Super Heroes,Promotional Exclusive Minifigure,8.0,1.0,0.0,,
10232,Palace Cinema,2013,Advanced Models,Modular Buildings,2196.0,6.0,149.99,10232,449.99
10233,Horizon Express,2013,Advanced Models,Trains,1351.0,6.0,129.99,10233,313.5544
10234,Sydney Opera House,2013,Advanced Models,Buildings,2989.0,,319.99,10234,350.0
10235,Winter Village Market,2013,Advanced Models,Winter Village,1261.0,9.0,99.99,10235,209.68
10236,Ewok Village,2013,Star Wars,Episode IV-VI,1990.0,17.0,249.99,10236,539.991
10237,Tower of Orthanc,2013,The Lord of the Rings,The Two Towers,2359.0,5.0,199.99,10237,799.0
10240,Red Five X-wing Starfighter,2013,Star Wars,Ultimate Collector Series,1559.0,1.0,199.99,10240,300.0
10500,Horse Stable,2013,Duplo,,44.0,2.0,29.99,10500,
10501,Zoo Friends,2013,Duplo,Zoo,5.0,,4.99,10501,
10502,Zoo Bus,2013,Duplo,Zoo,19.0,2.0,29.99,10502,
10503,Circus Show,2013,Duplo,Circus,25.0,1.0,14.99,10503,
10504,My First Circus,2013,Duplo,Circus,62.0,3.0,34.99,10504,
10505,Play House,2013,Duplo,,83.0,,59.99,10505,
10506,Train Accessory Set,2013,Duplo,Trains,24.0,,19.99,10506,40.0884
10507,My First Train Set,2013,Duplo,Trains,52.0,2.0,44.99,10507,
10508,Deluxe Train Set,2013,Duplo,Trains,134.0,3.0,109.99,10508,
10509,Dusty and Chug,2013,Duplo,Disney Planes,16.0,,14.99,10509,
10510,Ripslinger's Air Race,2013,Duplo,Disney Planes,40.0,,24.99,10510,
10511,Skipper's Flight School,2013,Duplo,Disney Planes,53.0,,39.99,10511,
10512,Jake's Treasure Hunt,2013,Duplo,Jake and the Never Land Pirates,22.0,1.0,14.99,10512,53.6025
10513,Never Land Hideout,2013,Duplo,Jake and the Never Land Pirates,37.0,2.0,24.99,10513,39.5676
10514,Jake's Pirate Ship Bucky,2013,Duplo,Jake and the Never Land Pirates,56.0,2.0,39.99,10514,
10515,Ariel's Undersea Castle,2013,Duplo,Disney Princess,39.0,1.0,29.99,10515,
10516,Ariel's Magical Boat Ride,2013,Duplo,Disney Princess,30.0,2.0,14.99,10516,
10517,My First Garden,2013,Duplo,,38.0,1.0,12.99,10517,
10518,My First Construction Site,2013,Duplo,Construction,43.0,2.0,19.99,10518,
10519,Garbage Truck,2013,Duplo,,16.0,1.0,19.99,10519,
10520,Big Front Loader,2013,Duplo,,12.0,1.0,19.99,10520,
10550,Circus Transport,2013,Duplo,Circus,9.0,1.0,19.99,10550,
10552,Creative Cars,2013,Duplo,,40.0,,19.99,10552,
10553,Toddler Build and Play Cubes,2013,Duplo,,17.0,,12.99,10553,
10554,Toddler Build and Pull Along,2013,Duplo,,15.0,,14.99,10554,
10555,Creative Bucket,2013,Duplo,,65.0,,29.99,10555,
10556,Creative Chest,2013,Duplo,,106.0,2.0,44.99,10556,
10557,Giant Tower,2013,Duplo,,200.0,,59.99,10557,
10558,Number Train,2013,Duplo,Trains,31.0,1.0,19.99,10558,
10559,A Fairy Tale,2013,Duplo,,15.0,,12.99,10559,
10560,Peekaboo Jungle,2013,Duplo,,13.0,,12.99,10560,
10561,Toddler Starter Building Set,2013,Duplo,,37.0,,19.99,10561,
10655,LEGO Monster Trucks,2013,Bricks and More,,197.0,3.0,19.99,10655,
10656,My First LEGO Princess,2013,Bricks and More,,88.0,1.0,9.99,10656,
10657,My First LEGO Set,2013,Bricks and More,,148.0,1.0,14.99,10657,
10659,Vehicle Suitcase,2013,Bricks and More,,146.0,2.0,24.99,10659,
10660,House Suitcase,2013,Bricks and More,,151.0,2.0,24.99,10660,
10661,My First LEGO Fire Station,2013,Bricks and More,,90.0,1.0,9.99,10661,
10662,LEGO Creative Bucket,2013,Bricks and More,,607.0,,29.99,10662,
10663,Creative Chest,2013,Bricks and More,,609.0,3.0,,10663,
10664,Creative Tower,2013,Bricks and More,,1600.0,,,10664,
10937,Batman: Arkham Asylum Breakout,2013,DC Comics Super Heroes,Batman,1619.0,8.0,159.99,10937,223.9653
2000430,Identity and Landscape Kit,2013,Serious Play,,,6.0,789.99,2000430,
2000431,Connections Kit,2013,Serious Play,,2455.0,,754.99,2000431,
20214,Adventure Designer,2013,Master Builder Academy,,638.0,,79.99,20214,
20215,Invention Designer,2013,Master Builder Academy,,675.0,3.0,79.99,20215,
20216,Robot & Micro Designer,2013,Master Builder Academy,,383.0,,49.99,20216,
20217,Action Designer,2013,Master Builder Academy,,576.0,,79.99,20217,
21015,The Leaning Tower of Pisa,2013,Architecture,Landmark Series,345.0,,34.99,21015,152.0
21017,Imperial Hotel,2013,Architecture,Architect Series,1188.0,,129.99,21017,190.0
21018,United Nations Headquarters,2013,Architecture,Landmark Series,597.0,,49.99,21018,131.6
21050,Architecture Studio,2013,Architecture,,1210.0,,159.99,21050,299.0
21103,The DeLorean Time Machine,2013,Ideas,,401.0,2.0,34.99,21103,134.99
21105,The Village,2013,Minecraft,Micro World,466.0,3.0,34.99,21105,55.5705
21106,The Nether,2013,Minecraft,Micro World,469.0,3.0,34.99,21106,55.5705
30106,Ice Cream Stand,2013,Friends,,34.0,1.0,4.99,30106,8.0
30166,Robin and Redbird Cycle,2013,DC Comics Super Heroes,Batman,40.0,1.0,4.99,30166,14.99
30167,Iron Man vs. Fighting Drone,2013,Marvel Super Heroes,Avengers,24.0,1.0,4.99,30167,21.0
30216,Lake-town Guard,2013,The Hobbit,The Desolation of Smaug,31.0,1.0,4.99,30216,29.4974
30225,Coast Guard Seaplane,2013,City,Coast Guard,37.0,1.0,3.99,30225,5.55
30230,Mini Mech,2013,Space,Galaxy Squad,28.0,1.0,3.99,30230,5.75
30231,Space Insectoid,2013,Space,Galaxy Squad,27.0,1.0,3.49,30231,9.0
30240,Z-95 Headhunter,2013,Star Wars,Mini Building Set,54.0,,4.99,30240,6.7314
30241,Mandalorian Fighter,2013,Star Wars,Mini Building Set,49.0,,4.99,30241,13.4628
30242,Republic Frigate,2013,Star Wars,Mini Building Set,45.0,,4.99,30242,10.99
30250,Ewar's Acro Fighter,2013,Legends of Chima,,33.0,1.0,3.99,30250,5.0
30260,Lone Ranger's Pump Car,2013,The Lone Ranger,,24.0,1.0,3.99,30260,15.0
30270,Kraang's Turtle Target Practice ,2013,Teenage Mutant Ninja Turtles,,36.0,1.0,3.99,30270,4.7683
31000,Mini Speeder,2013,Creator,,65.0,,6.99,31000,8.99
31001,Mini Skyflyer,2013,Creator,,62.0,,6.99,31001,5.0
31002,Super Racer,2013,Creator,,121.0,,14.99,31002,19.99
31003,Red Rotors,2013,Creator,,145.0,,14.99,31003,
31004,Fierce Flyer,2013,Creator,,166.0,,14.99,31004,17.0
31005,Construction Hauler,2013,Creator,,256.0,,17.99,31005,29.95
31006,Highway Speedster,2013,Creator,,286.0,,24.99,31006,15.992
31007,Power Mech,2013,Creator,,223.0,,19.99,31007,33.5951
31008,Thunder Wings,2013,Creator,,235.0,,19.99,31008,
31009,Small Cottage,2013,Creator,,271.0,1.0,24.99,31009,
31010,Tree House,2013,Creator,,356.0,1.0,29.99,31010,
31011,Aviation Adventures,2013,Creator,,618.0,,59.99,31011,89.95
31012,Family House,2013,Creator,,756.0,2.0,69.99,31012,135.0
31313,Mindstorms EV3,2013,Mindstorms,EV3,601.0,,349.99,31313,339.99
40051,Valentine's Day Heart Box,2013,Seasonal,Valentines,54.0,,4.99,40051,15.8168
40052,Springtime Scene,2013,Seasonal,Spring,88.0,2.0,7.99,40052,14.0
40053,Easter Bunny with Basket,2013,Seasonal,Easter,96.0,,4.99,40053,12.99
40054,Summer Scene,2013,Seasonal,Summer,40.0,1.0,4.99,40054,17.9395
40055,Halloween Pumpkin,2013,Seasonal,Halloween,52.0,,4.99,40055,
40056,Thanksgiving Feast,2013,Seasonal,Thanksgiving,46.0,2.0,7.99,40056,24.0
40057,Fall Scene,2013,Seasonal,Fall,72.0,3.0,7.99,40057,20.0
40058,Decorating the Tree,2013,Seasonal,Christmas,110.0,2.0,7.99,40058,11.1984
40059,Santa's Sleigh,2013,Seasonal,Christmas,77.0,2.0,7.99,40059,
40061,Igloo,2013,Promotional,Monthly Mini Model Build,40.0,,0.0,40061,
40062,Log Cabin,2013,Promotional,Monthly Mini Model Build,59.0,,0.0,40062,13.5
40063,Sea Turtle,2013,Promotional,Monthly Mini Model Build,29.0,,0.0,40063,
40064,Lamb,2013,Promotional,Monthly Mini Model Build,32.0,,0.0,40064,
40065,Kingfisher,2013,Promotional,Monthly Mini Model Build,21.0,,0.0,40065,
40066,Fisherman,2013,Promotional,Monthly Mini Model Build,37.0,,0.0,40066,6.03
40067,Crab,2013,Promotional,Monthly Mini Model Build,37.0,,0.0,40067,
40068,Flamingo,2013,Promotional,Monthly Mini Model Build,31.0,,0.0,40068,12.425
40069,Pirate,2013,Promotional,Monthly Mini Model Build,44.0,,0.0,40069,
40070,Witch,2013,Promotional,Monthly Mini Model Build,22.0,,0.0,40070,
40071,Lawn mower,2013,Promotional,Monthly Mini Model Build,,,0.0,40071,
