Item_Number,Name,Year,Theme,Subtheme,Pieces,Minifigures,USD_MSRP,Current_Price
9562,Lasha,2012,Ninjago,Spinners,21.0,1.0,9.99,24.9500
9563,Kendo Zane,2012,Ninjago,Spinners,22.0,1.0,9.99,
9564,Snappa,2012,Ninjago,Spinners,20.0,1.0,9.99,20.8774
9566,Samurai X,2012,Ninjago,Spinners,23.0,1.0,9.99,17.4300
9567,Fang-Suei,2012,Ninjago,Spinners,19.0,1.0,9.99,
9569,Spitta,2012,Ninjago,Spinners,20.0,1.0,9.99,11.1984
9570,NRG Jay,2012,Ninjago,Spinners,20.0,1.0,9.99,
9571,Fangdam,2012,Ninjago,Spinners,20.0,1.0,9.99,
9572,NRG Cole,2012,Ninjago,Spinners,20.0,1.0,9.99,40.0000
9573,Slithraa,2012,Ninjago,Spinners,20.0,1.0,9.99,
9574,Lloyd ZX,2012,Ninjago,,23.0,1.0,9.99,70.0000
9579,Starter Set,2012,Ninjago,,62.0,2.0,19.99,
9590,NRG Zane,2012,Ninjago,Spinners,23.0,1.0,9.99,52.0000
9591,Weapon Pack,2012,Ninjago,Spinners,73.0,2.0,19.99,42.0000
9674,Naboo Starfighter & Naboo,2012,Star Wars,Planet Set,56.0,1.0,9.99,14.9500
9675,Sebulba's Podracer & Tatooine,2012,Star Wars,Planet Set,80.0,1.0,9.99,18.8800
9676,TIE Interceptor & Death Star,2012,Star Wars,Planet Set,65.0,1.0,9.99,35.4900
9677,X-wing Starfighter & Yavin 4,2012,Star Wars,Planet Set,77.0,1.0,9.99,20.0000
9678,Twin-Pod Cloud Car & Bespin,2012,Star Wars,Planet Set,78.0,1.0,9.99,7.4166
9679,AT-ST & Endor,2012,Star Wars,Planet Set,65.0,1.0,9.99,22.1463
ALPHARETTA,Alpharetta Exclusive Minifigure Pack,2012,Promotional,LEGO brand store opening set,15.0,3.0,0.0,
BILBO,Bilbo Baggins ,2012,The Hobbit,An Unexpected Journey,4.0,,0.0,
COMCON019,Sith Infiltrator (SDCC 2012 exclusive),2012,Star Wars,MicroFighters,84.0,1.0,40.0,899.9800
COSTAMESA,"Costa Mesa, Exclusive Minifigure Pack",2012,Promotional,LEGO brand store opening set,15.0,3.0,0.0,75.0000
ELIZABETH,Elizabeth Exclusive Minifigure Pack,2012,Promotional,LEGO brand store opening set,15.0,,0.0,
ESSEN,"Essen, Germany, Exclusive Minifigure Pack",2012,Promotional,LEGO brand store opening set,,,0.0,
ICECREAM,Ice Cream Stand,2012,Friends,Promotional,14.0,,0.0,
LCP2012,Iron Man & Captain America (2012 Collectors Preview),2012,Marvel Super Heroes,Promotional Exclusive Minifigure,7.0,2.0,0.0,
NASHVILLE,Nashville Exclusive Minifigure Pack,2012,Promotional,LEGO brand store opening set,15.0,3.0,0.0,
PAB10,Chef,2012,Promotional,LEGO brand stores,73.0,,,
PAB3,Royal Guard (Limited Edition PAB Model),2012,Promotional,LEGO brand stores,88.0,,,
PAB4,Batman & Robin (Limited Edition PAB Model),2012,Promotional,LEGO brand stores,61.0,,,
PAB5,Patriot,2012,Promotional,LEGO brand stores,66.0,,,
PAB6,Zoo Keeper,2012,Promotional,LEGO brand stores,58.0,,,
PAB7,Surfer,2012,Promotional,LEGO brand stores,67.0,,,
PAB8,Pirate,2012,Promotional,LEGO brand stores,75.0,,,
PAB9,Monster,2012,Promotional,LEGO brand stores,50.0,,,
SAARBRUCKEN,"Saarbrucken, Germany Exclusive Minifigure Pack",2012,Promotional,LEGO brand store opening set,15.0,3.0,0.0,
STRATFORD,"Westfield Stratford, UK Exclusive Minifigure Pack",2012,Promotional,LEGO brand store opening set,14.0,3.0,,
VANCOUVER,"Vancouver, Canada Exclusive Minifigure Pack",2012,Promotional,LEGO brand store opening set,15.0,3.0,0.0,
VICTOR,Victor Exclusive Minifigure Pack,2012,Promotional,LEGO brand store opening set,15.0,3.0,0.0,
WAUWATOSA,Wauwatosa Exclusive Minifigure Pack,2012,Promotional,LEGO brand store opening set,15.0,3.0,0.0,
10217,Diagon Alley,2011,Harry Potter,General,2025.0,12.0,149.99,377.8796
10218,Pet Shop,2011,Advanced Models,Modular Buildings,2032.0,4.0,149.99,325.0000
10219,Maersk Train,2011,Advanced Models,Trains,1237.0,3.0,119.99,420.0000
10220,Volkswagen T1 Camper Van,2011,Advanced Models,Vehicles,1332.0,,119.99,135.0000
10221,Super Star Destroyer ,2011,Star Wars,Ultimate Collector Series,3152.0,5.0,399.99,1499.9900
10222,Winter Village Post Office,2011,Advanced Models,Winter Village,822.0,7.0,69.99,499.0000
10231,Shuttle Expedition,2011,Advanced Models,Space,1230.0,3.0,99.99,449.9500
10285,Compass Sensor,2011,Mindstorms,NXT,1.0,,54.99,
10286,Colour Sensor ,2011,Mindstorms,NXT,1.0,,54.99,
20200,Space Designer,2011,Master Builder Academy,,178.0,1.0,29.99,27.9800
2063,Stormer 2.0,2011,HERO Factory,,31.0,,7.99,
2065,Furno 2.0,2011,HERO Factory,,30.0,,7.99,
2067,Evo 2.0,2011,HERO Factory,,31.0,,7.99,
2068,Nex 2.0,2011,HERO Factory,,31.0,,7.99,
21000,Willis Tower,2011,Architecture,Landmark Series,69.0,,19.99,150.0000
21007,Rockefeller Center,2011,Architecture,Architect Series,240.0,,39.99,150.0000
21008,Burj Khalifa,2011,Architecture,Landmark Series,208.0,,24.99,78.9900
21009,Farnsworth House,2011,Architecture,Architect Series,546.0,,59.99,275.0000
21010,Robie House,2011,Architecture,Architect Series,2276.0,,199.99,593.0100
21011,Brandenburg Gate,2011,Architecture,Landmark Series,363.0,,34.99,93.0000
2111,Kai,2011,Ninjago,Spinners,19.0,1.0,9.99,
2112,Cole,2011,Ninjago,Spinners,19.0,1.0,9.99,
2113,Zane,2011,Ninjago,Spinners,19.0,1.0,9.99,
2114,Chopov,2011,Ninjago,Spinners,20.0,1.0,9.99,8.9587
2115,Bonezai,2011,Ninjago,Spinners,21.0,1.0,9.99,11.1984
2116,Krazi,2011,Ninjago,Spinners,22.0,1.0,9.99,10.0000
21200,Life Of George 1,2011,Miscellaneous,Phone game,146.0,,29.99,
2141,Surge 2.0,2011,HERO Factory,,30.0,,7.99,29.9900
2142,Breez 2.0,2011,HERO Factory,,29.0,,7.99,30.0000
2143,Rocka 3.0,2011,HERO Factory,,30.0,,7.99,
2144,Nex 3.0,2011,HERO Factory,,29.0,,7.99,29.9800
2145,Stormer 3.0,2011,HERO Factory,,31.0,,7.99,
2170,Cole DX,2011,Ninjago,Spinners,21.0,1.0,9.99,28.0000
2171,Zane DX,2011,Ninjago,Spinners,22.0,1.0,9.99,26.0000
2172,Nya,2011,Ninjago,Spinners,21.0,1.0,9.99,
2173,Nuckal,2011,Ninjago,Spinners,26.0,1.0,9.99,
2174,Kruncha,2011,Ninjago,Spinners,24.0,1.0,9.99,8.0000
2175,Wyplash,2011,Ninjago,Spinners,23.0,1.0,9.99,10.3320
2182,Bulk 3.0,2011,HERO Factory,,30.0,,7.99,
2183,Stringer 3.0,2011,HERO Factory,,30.0,,7.99,
2191,Furno 3.0,2011,HERO Factory,,28.0,,7.99,
2192,Drilldozer,2011,HERO Factory,,61.0,,12.99,85.0000
2193,Jetbug,2011,HERO Factory,,63.0,,12.99,
2194,Nitroblast,2011,HERO Factory,,57.0,,12.99,
2231,Waspix,2011,HERO Factory,,48.0,,12.99,30.0000
2232,Raw-Jaw,2011,HERO Factory,,52.0,,12.99,
2233,Fangz,2011,HERO Factory,,55.0,,12.99,
2235,Fire Lord,2011,HERO Factory,,125.0,,19.99,
2236,Scorpio,2011,HERO Factory,,104.0,,24.99,
2254,Mountain Shrine,2011,Ninjago,,169.0,2.0,19.99,
2255,Sensei Wu,2011,Ninjago,Spinners,20.0,1.0,9.99,20.0000
2256,Lord Garmadon,2011,Ninjago,Spinners,23.0,1.0,9.99,18.6639
2257,Spinjitzu Starter Set,2011,Ninjago,Spinners,57.0,2.0,19.99,38.1440
2258,Ninja Ambush,2011,Ninjago,,71.0,2.0,6.99,29.2500
2259,Skull Motorbike,2011,Ninjago,,157.0,2.0,14.99,30.8920
2260,Ice Dragon Attack,2011,Ninjago,,158.0,2.0,19.99,150.0000
2263,Turbo Shredder,2011,Ninjago,,298.0,3.0,29.99,125.0000
2282,Rocka XL,2011,HERO Factory,,174.0,,24.99,
2283,Witch Doctor,2011,HERO Factory,,331.0,,29.99,
2504,Spinjitzu Dojo,2011,Ninjago,,373.0,3.0,49.99,90.0000
2505,Garmadon's Dark Fortress,2011,Ninjago,,518.0,6.0,69.99,340.0000
2506,Skull Truck,2011,Ninjago,,515.0,4.0,59.99,200.0000
2507,Fire Temple,2011,Ninjago,,1180.0,7.0,119.99,293.7744
2508,Blacksmith Shop,2011,Ninjago,,189.0,2.0,19.99,86.9900
2509,Earth Dragon Defense,2011,Ninjago,,225.0,2.0,34.99,270.0000
2516,Ninja Training Outpost,2011,Ninjago,,45.0,1.0,4.99,
2518,Nuckal's ATV,2011,Ninjago,,174.0,2.0,24.99,65.0000
2519,Skeleton Bowling,2011,Ninjago,,371.0,7.0,29.99,75.0000
2520,Ninjago Battle Arena,2011,Ninjago,,463.0,2.0,49.99,98.9800
2521,Lightning Dragon Battle,2011,Ninjago,,645.0,4.0,79.99,
2852724,Accelerometer Sensor,2011,Mindstorms,NXT,1.0,,54.99,
2852725,Infrared Seeker,2011,Mindstorms,NXT,1.0,,49.99,
2852726,Gyroscopic Sensor,2011,Mindstorms,NXT,1.0,,54.99,
2853216,Infrared Link Sensor,2011,Mindstorms,NXT,1.0,,54.99,
2856079,Creationary Booster Pack,2011,Games,,10.0,,3.99,21.2500
2856134,Ninjago Card Shrine,2011,Ninjago,,98.0,,6.99,10.0000
2856197,Shadow ARF Trooper,2011,Star Wars,Minifig Pack,5.0,1.0,0.0,367.0057
30014,Police Helicopter,2011,City,Police,32.0,1.0,4.99,4.4868
30025,Clown Fish,2011,Creator,,59.0,,3.99,8.9900
30028,Holiday Wreath,2011,Creator,Seasonal,50.0,,4.99,11.7000
30029,Pudsey Bear,2011,Creator,,95.0,,,
30051,Mini X-wing,2011,Star Wars,Mini Building Set,61.0,,3.49,15.0000
30052,AAT,2011,Star Wars,Mini Building Set,46.0,,3.99,19.0000
30053,Republic Attack Cruiser,2011,Star Wars,Mini Building Set,41.0,,3.99,8.5000
30080,Ninja Glider,2011,Ninjago,Promotional,26.0,1.0,3.47,9.9900
30081,Skeleton Chopper,2011,Ninjago,Promotional,41.0,1.0,,7.9900
30082,Ninja Training,2011,Ninjago,Promotional,32.0,1.0,3.47,
30110,Trolley,2011,Harry Potter,Mini Building Set,22.0,1.0,4.99,9.1124
30111,The Lab,2011,Harry Potter,Mini Building Set,34.0,1.0,3.99,5.9000
30121,Grem,2011,Cars,,54.0,,,
30132,{Captain Jack Sparrow},2011,Pirates of the Caribbean,,4.0,1.0,2.99,18.6756
3300001,Brickley,2011,Promotional,LEGO brand stores,197.0,,14.99,60.0000
3365,Space Moon Buggy,2011,City,Space,37.0,1.0,4.99,10.0000
3366,Satellite Launch Pad,2011,City,Space,165.0,1.0,19.99,29.8623
3367,Space Shuttle,2011,City,Space,231.0,1.0,29.99,47.5393
3368,Space Centre,2011,City,Space,494.0,4.0,69.99,100.0000
3648,Police Chase,2011,City,Police,173.0,3.0,24.99,38.0000
3658,Police Helicopter,2011,City,Police,237.0,4.0,34.99,45.0000
3661,Bank & Money Transfer,2011,City,Police,405.0,4.0,49.99,89.9900
3677,Red Cargo Train,2011,City,Trains,831.0,4.0,159.99,324.9900
3815,Heroic Heroes of the Deep,2011,SpongeBob SquarePants,,95.0,3.0,14.99,67.5000
3816,Glove World,2011,SpongeBob SquarePants,,169.0,4.0,19.99,100.0000
3852,Sunblock,2011,Games,,80.0,,9.99,12.0000
3853,Banana Balance,2011,Games,,49.0,,4.99,
3854,Frog Rush,2011,Games,,107.0,,14.99,20.0000
3855,Ramses Return,2011,Games,,99.0,5.0,7.49,17.4420
3856,NinjaGo,2011,Games,,245.0,10.0,24.99,45.0000
3857,Draida Bay,2011,Games,Heroica,101.0,8.0,14.99,29.0000
3858,Waldurk Forest,2011,Games,Heroica,225.0,7.0,19.99,44.8558
3859,Caverns of Nathuz,2011,Games,Heroica,217.0,7.0,19.99,44.8558
3860,Castle Fortaan,2011,Games,Heroica,304.0,15.0,29.99,42.7500
3861,LEGO Champion,2011,Games,,216.0,8.0,19.99,20.0000
40015,Heart Book,2011,Seasonal,Valentines,51.0,,4.99,25.0000
40016,Valentine Letter Set,2011,Seasonal,Valentines,41.0,,4.99,
40017,Easter Basket,2011,Seasonal,Easter,86.0,,4.99,21.3450
40018,Easter Bunny,2011,Seasonal,Easter,95.0,,4.99,
40020,Halloween Set,2011,Seasonal,Halloween,71.0,,4.99,12.9800
40021,Spiders Set,2011,Seasonal,Halloween,54.0,,4.99,5.8900
40022,Mini Santa Set,2011,Seasonal,Christmas,72.0,,4.99,10.0000
40023,Holiday Stocking,2011,Seasonal,Christmas,76.0,,4.99,
40024,Christmas Tree,2011,Seasonal,Christmas,77.0,,4.99,9.9900
40028,Mini Hogwarts Express,2011,Harry Potter,Mini Building Set,64.0,,4.99,20.0000
4181,Isla de la Muerta,2011,Pirates of the Caribbean,,152.0,4.0,19.99,135.0000
4182,The Cannibal Escape,2011,Pirates of the Caribbean,,279.0,4.0,29.99,90.0000
4183,The Mill,2011,Pirates of the Caribbean,,365.0,4.0,39.99,145.0000
4184,The Black Pearl,2011,Pirates of the Caribbean,,804.0,6.0,99.99,1000.0000
4191,Captain's Cabin,2011,Pirates of the Caribbean,,94.0,3.0,11.99,45.0000
4192,Fountain of Youth,2011,Pirates of the Caribbean,,125.0,4.0,19.99,124.9900
4193,The London Escape,2011,Pirates of the Caribbean,,462.0,5.0,49.99,
4194,Whitecap Bay,2011,Pirates of the Caribbean,,745.0,6.0,79.99,186.9834
4195,Queen Anne's Revenge,2011,Pirates of the Caribbean,,1094.0,9.0,119.99,769.0000
4641,Speedboat,2011,City,Harbour,34.0,1.0,4.99,7.4043
4642,Fishing Boat,2011,City,Harbour,64.0,2.0,19.99,55.0000
4643,Power Boat Transporter,2011,City,Harbour,254.0,2.0,39.99,59.9900
4644,Marina,2011,City,Harbour,294.0,5.0,49.99,58.0000
4645,Harbour,2011,City,Harbour,551.0,4.0,89.99,200.0000
4865,The Forbidden Forest,2011,Harry Potter,Deathly Hallows,64.0,4.0,11.99,39.9900
4866,The Knight Bus,2011,Harry Potter,Prisoner of Azkaban,257.0,3.0,34.99,63.7500
4867,Hogwarts,2011,Harry Potter,Deathly Hallows,466.0,7.0,49.99,99.9900
5678,Policeman,2011,Duplo,,4.0,1.0,4.99,
5679,Police Bike,2011,Duplo,,8.0,1.0,9.99,
5680,Police Truck,2011,Duplo,,14.0,2.0,,
5681,Police Station,2011,Duplo,,60.0,4.0,,
5682,Fire Truck,2011,Duplo,,21.0,1.0,,
5683,Market Place,2011,Duplo,,24.0,2.0,24.99,
5684,Car Transporter,2011,Duplo,,15.0,1.0,,
5685,Vet,2011,Duplo,,4.0,1.0,4.99,
5695,Doctor's Clinic,2011,Duplo,,56.0,3.0,59.99,
5696,Car Wash,2011,Duplo,,14.0,1.0,24.99,
5748,Creative Building Kit,2011,Duplo,,86.0,,,
5749,Creative Building Kit,2011,Bricks and More,,650.0,,,
5761,Mini Digger,2011,Creator,,56.0,,5.99,
5762,Mini Plane,2011,Creator,,52.0,,5.99,4.9900
5763,Dune Hopper,2011,Creator,,137.0,,12.99,
5764,Rescue Robot,2011,Creator,,149.0,,16.99,
5765,Transport Truck,2011,Creator,,276.0,,19.99,38.4000
5766,Log Cabin,2011,Creator,,355.0,1.0,29.99,59.9800
5767,Cool Cruiser,2011,Creator,,621.0,,39.99,
5770,Lighthouse Island,2011,Creator,,518.0,1.0,39.99,75.0000
5771,Hillside House,2011,Creator,,714.0,1.0,69.99,130.0000
5793,Nurse's Car,2011,Duplo,,10.0,1.0,9.99,
5794,Emergency Helicopter,2011,Duplo,,18.0,2.0,24.99,
5795,Big City Hospital,2011,Duplo,,111.0,5.0,89.99,
5817,Agent Mater,2011,Duplo,Cars,11.0,,14.99,
5818,Luigi's Italian Place,2011,Duplo,Cars,22.0,,19.99,
5819,Tokyo Racing,2011,Duplo,Cars,45.0,,29.99,
5828,Big Bentley,2011,Duplo,Cars,67.0,,39.99,
5829,The Pit Stop,2011,Duplo,Cars,52.0,,49.99,149.9900
5839,World Grand Prix,2011,Duplo,Cars,35.0,,39.99,
5929,Knight and Castle Building Set,2011,Bricks and More,,144.0,1.0,9.99,25.0369
5930,Road Construction Building Set,2011,Bricks and More,,121.0,1.0,9.99,
5931,My First LEGO DUPLO Set,2011,Duplo,,30.0,1.0,14.99,
5932,My First LEGO Set,2011,Bricks and More,,231.0,1.0,14.99,
5933,Airport Building Set,2011,Bricks and More,,310.0,2.0,19.99,
5945,Winnie the Pooh's Picnic,2011,Duplo,Winnie the Pooh,13.0,1.0,9.99,
5946,Tigger's Expedition,2011,Duplo,Winnie the Pooh,26.0,2.0,19.99,
5947,Winnie the Pooh's House,2011,Duplo,Winnie the Pooh,40.0,3.0,29.99,
6051,Play with Letters Set,2011,Duplo,,62.0,1.0,29.99,
6052,My First LEGO DUPLO Vehicle Set,2011,Duplo,,90.0,,,
6053,My First LEGO Town,2011,Bricks and More,,704.0,2.0,,
6130,DUPLO Build and Play,2011,Duplo,,100.0,1.0,,
6131,LEGO Build and Play,2011,Bricks and More,,645.0,1.0,,
6136,My First Zoo,2011,Duplo,Zoo,60.0,1.0,24.99,65.5992
6137,My First Supermarket,2011,Duplo,,38.0,2.0,19.99,
6138,My First Fire Station,2011,Duplo,,60.0,2.0,29.99,
630,"Brick Separator, Orange",2011,Bricks and More,Accessories,1.0,,2.49,
6918,Blacksmith Attack,2011,Castle,Kingdoms,104.0,2.0,9.99,33.1864
7049,Alien Striker,2011,Space,Alien Conquest,42.0,2.0,4.99,19.5000
7050,Alien Defender,2011,Space,Alien Conquest,105.0,2.0,9.99,21.0000
7051,Tripod Invader,2011,Space,Alien Conquest,165.0,2.0,19.99,80.0000
7052,UFO Abduction,2011,Space,Alien Conquest,211.0,3.0,29.99,109.9900
7065,Alien Mothership,2011,Space,Alien Conquest,416.0,2.0,59.99,115.0000
7066,Earth Defense HQ,2011,Space,Alien Conquest,875.0,5.0,89.99,190.0000
7067,Jet-Copter Encounter,2011,Space,Alien Conquest,375.0,3.0,39.99,58.9900
7187,Escape from the Dragon's Prison,2011,Castle,Kingdoms,185.0,4.0,19.99,240.0000
7188,King's Carriage Ambush,2011,Castle,Kingdoms,286.0,4.0,39.99,88.4970
7189,Mill Village Raid,2011,Castle,Kingdoms,663.0,6.0,69.99,549.9900
7279,Police Minifigure Collection,2011,City,Police,57.0,4.0,9.99,12.0000
7285,Police Dog Unit,2011,City,Police,96.0,1.0,12.99,25.0000
7286,Prisoner Transport,2011,City,Police,173.0,2.0,19.99,
7287,Police Boat,2011,City,Police,172.0,3.0,39.99,105.0000
7288,Mobile Police Unit,2011,City,Police,408.0,3.0,44.99,65.0000
7305,Scarab Attack,2011,Pharaoh's Quest,,44.0,1.0,4.99,29.9900
7306,Golden Staff Guardians,2011,Pharaoh's Quest,,70.0,3.0,9.99,32.9232
7307,Flying Mummy Attack,2011,Pharaoh's Quest,,125.0,3.0,19.99,62.9369
7325,Cursed Cobra Statue,2011,Pharaoh's Quest,,213.0,3.0,29.99,80.0000
7326,Rise of the Sphinx,2011,Pharaoh's Quest,,527.0,3.0,49.99,105.0000
7327,Scorpion Pyramid,2011,Pharaoh's Quest,,792.0,7.0,99.99,444.0000
7498,Police Station,2011,City,Police,783.0,6.0,99.99,224.1075
7499,Flexible and Straight Tracks,2011,City,Trains,24.0,,19.99,30.0000
7553,City Advent Calendar,2011,City,Seasonal,232.0,6.0,34.99,34.9900
7868,Mace Windu's Jedi Starfighter,2011,Star Wars,The Clone Wars,313.0,5.0,39.99,298.6232
7869,Battle for Geonosis,2011,Star Wars,The Clone Wars,331.0,5.0,39.99,275.0000
7877,Naboo Starfighter,2011,Star Wars,Episode I,318.0,6.0,49.99,150.0000
7879,Hoth Echo Base,2011,Star Wars,Episode IV-VI,773.0,8.0,89.99,185.0000
7913,Clone Trooper Battle Pack,2011,Star Wars,The Clone Wars,85.0,4.0,12.99,75.0000
7914,Mandalorian Battle Pack,2011,Star Wars,The Clone Wars,68.0,4.0,12.99,62.0000
7915,Imperial V-wing Starfighter,2011,Star Wars,Expanded Universe,139.0,2.0,19.99,75.0000
7929,The Battle of Naboo,2011,Star Wars,Episode I,241.0,12.0,24.99,75.0000
7930,Bounty Hunter Assault Gunship,2011,Star Wars,The Clone Wars,389.0,4.0,49.99,180.0000
7931,T-6 Jedi Shuttle,2011,Star Wars,The Clone Wars,389.0,4.0,59.99,225.0000
7956,Ewok Attack,2011,Star Wars,Episode IV-VI,166.0,3.0,24.99,50.0000
7957,Sith Nightspeeder,2011,Star Wars,The Clone Wars,213.0,3.0,24.99,98.0000
7958,Star Wars Advent Calendar,2011,Star Wars,Seasonal,266.0,9.0,39.99,45.0000
7959,Geonosian Starfighter,2011,Star Wars,The Clone Wars,155.0,3.0,29.99,150.0000
7961,Darth Maul's Sith Infiltrator,2011,Star Wars,Episode I,479.0,4.0,69.99,150.0000
7962,Anakin Skywalker and Sebulba's Podracers,2011,Star Wars,Episode I,810.0,5.0,89.99,229.0000
7964,Republic Frigate,2011,Star Wars,The Clone Wars,1015.0,5.0,119.99,485.0000
7965,Millennium Falcon,2011,Star Wars,Episode IV-VI,1254.0,6.0,139.99,269.9900
7976,Ocean Speeder,2011,Atlantis,,54.0,1.0,4.99,
7977,Seabed Strider,2011,Atlantis,,105.0,2.0,9.99,20.0000
7978,Angler Attack,2011,Atlantis,,200.0,2.0,19.99,49.9900
7984,Deep Sea Raider,2011,Atlantis,,265.0,2.0,29.99,49.0000
7985,City of Atlantis,2011,Atlantis,,686.0,5.0,69.99,174.9900
8065,Mini Container Truck,2011,Technic,,119.0,,10.99,
8066,Off-Roader,2011,Technic,,141.0,,19.99,
8067,Mini Mobile Crane,2011,Technic,,292.0,,24.99,
8068,Rescue Helicopter,2011,Technic,,408.0,,39.99,
8069,Backhoe Loader,2011,Technic,,609.0,,59.99,
8070,Super Car,2011,Technic,,1281.0,,119.99,219.0000
8071,Bucket Truck,2011,Technic,,593.0,,49.99,72.0000
8081,Extreme Cruiser,2011,Technic,,590.0,,59.99,
8109,Flatbed Truck,2011,Technic,,1115.0,,99.99,250.0000
8110,Mercedes-Benz Unimog U 400,2011,Technic,,2048.0,,199.99,259.9500
8200,Radiator Springs Lightning McQueen,2011,Cars,,35.0,,6.99,35.0000
8201,Radiator Springs Classic Mater,2011,Cars,,52.0,,6.99,35.0000
8206,Tokyo Pit Stop,2011,Cars,,147.0,,14.99,
8221,Storming Enforcer,2011,Racers,,97.0,,12.99,
8227,Dragon Dueler,2011,Racers,,94.0,,12.99,
8228,Sting Striker,2011,Racers,,82.0,,12.99,
8231,Vicious Viper,2011,Racers,,96.0,,12.99,
8301,Urban Enforcer,2011,Racers,Tiny Turbos,45.0,,5.99,9.9900
8302,Rod Rider,2011,Racers,Tiny Turbos,48.0,,5.99,9.9900
8303,Demon Destroyer,2011,Racers,Tiny Turbos,51.0,,5.99,
8304,Smokin' Slickster,2011,Racers,Tiny Turbos,44.0,,5.99,8.0000
8423,World Grand Prix Racing Rivalry,2011,Cars,,136.0,,14.99,
8424,Mater's Spy Zone,2011,Cars,,114.0,,14.99,30.0000
8426,Escape at Sea,2011,Cars,,159.0,,19.99,45.9900
8484,Ultimate Building Lightning McQueen,2011,Cars,,242.0,,29.99,150.0000
8486,Mack's Team Truck,2011,Cars,,374.0,,39.99,118.7500
8487,Flo's V8 Cafe,2011,Cars,,517.0,,59.99,199.9900
853176,Skeleton Mummy Battle Pack,2011,Pharaoh's Quest,,29.0,3.0,14.99,26.6556
853195,Brick Calendar,2011,Miscellaneous,Desk accessory,120.0,2.0,14.99,
853219,Pirates of the Caribbean Battle Pack,2011,Pirates of the Caribbean,,30.0,5.0,14.99,49.9900
853301,Alien Conquest Battle Pack,2011,Space,Alien Conquest,31.0,5.0,14.99,18.3402
853340,Minifigure Wedding Favour Set,2011,Miscellaneous,,24.0,2.0,7.99,24.9900
853344,Holiday Bauble with Red Bricks,2011,Seasonal,Christmas,30.0,,7.99,
853345,Holiday Bauble with Gold Bricks,2011,Seasonal,Christmas,40.0,,7.99,
853346,Holiday Bauble with Green Bricks,2011,Seasonal,Christmas,36.0,,7.99,
853358,LEGO HEROICA Storage Mat,2011,Games,Heroica,17.0,,34.99,
8638,Spy Jet Escape,2011,Cars,,339.0,,49.99,60.0000
8639,Big Bentley Bust Out,2011,Cars,,743.0,,69.99,83.7000
8677,Ultimate Build Mater,2011,Cars,,288.0,,29.99,60.9700
8678,Ultimate Build Francesco,2011,Cars,,196.0,,29.99,45.5000
8679,Tokyo International Circuit,2011,Cars,,842.0,,89.99,
88000,AAA Battery Box,2011,Power Functions,Accessories,1.0,,12.99,35.9910
88002,Train Motor,2011,Power Functions,Trains,7.0,,13.99,20.0000
8803,LEGO Minifigures Series 3 {Random bag} ,2011,Collectable Minifigures,Series 03,,,2.99,12.0000
8804,LEGO Minifigures Series 4 {Random bag} ,2011,Collectable Minifigures,Series 04,,,2.99,
8805,LEGO Minifigures Series 5 {Random bag} ,2011,Collectable Minifigures,Series 05,,,2.99,7.6415
9348,Community Minifigure Set,2011,Education,,256.0,22.0,49.99,40.0000
9349,Fairytale and Historic Minifigure Set,2011,Education,,227.0,22.0,49.99,71.5370
9387,Wheels Set,2011,Education,,286.0,,39.99,
BEACHWOOD,Beachwood Exclusive Minifigure Pack,2011,Promotional,LEGO brand store opening set,15.0,3.0,0.0,
COMCON015,Advent calendar (SDCC 2011 exclusive),2011,Star Wars,Seasonal,266.0,,50.0,
INDIANAPOLIS,Castleton Square  Exclusive Minifigure pack,2011,Promotional,LEGO brand store opening set,15.0,3.0,0.0,
LIVERPOOL,"Liverpool, UK Exclusive Minifigure Pack",2011,Promotional,LEGO brand store opening set,12.0,3.0,,
LONETREE,Lone Tree Exclusive Minifigure Pack,2011,Promotional,LEGO brand store opening set,15.0,3.0,0.0,
M1089065,Christmas,2011,Miscellaneous,Muji,120.0,,29.5,
M1089072,Basic,2011,Miscellaneous,Muji,64.0,,27.5,
M1089089,Animal and Vehicle,2011,Miscellaneous,Muji,196.0,,29.5,
M1089096,Move,2011,Miscellaneous,Muji,109.0,,29.5,
M8785476,Sea,2011,Miscellaneous,Muji,91.0,,27.5,
MISSIONVIEJO,Mission Viejo Exclusive Minifigure Pack,2011,Promotional,LEGO brand store opening set,15.0,3.0,0.0,
MMMB033,Polar Bear,2011,Promotional,Monthly Mini Model Build,45.0,,0.0,
MMMB034,Skier,2011,Promotional,Monthly Mini Model Build,43.0,,0.0,
MMMB035,Bird,2011,Promotional,Monthly Mini Model Build,,,0.0,
MMMB036,Watering Can,2011,Promotional,Monthly Mini Model Build,,,0.0,
MMMB037,Flower,2011,Promotional,Monthly Mini Model Build,,,0.0,
MMMB038,Graduate,2011,Promotional,Monthly Mini Model Build,,,0.0,
MMMB039,Lighthouse,2011,Promotional,Monthly Mini Model Build,,,0.0,
MMMB040,Chair,2011,Promotional,Monthly Mini Model Build,,,0.0,
MMMB041,Scarecrow,2011,Promotional,Monthly Mini Model Build,,,0.0,
MMMB042,Dracula,2011,Promotional,Monthly Mini Model Build,,,0.0,
MMMB043,Acorn,2011,Promotional,Monthly Mini Model Build,,,0.0,
MMMB044,Turkey,2011,Promotional,Monthly Mini Model Build,,,0.0,
MMMB045,Nutcracker Toy Soldier,2011,Promotional,Monthly Mini Model Build,35.0,,0.0,
